"id","theme_id","theme","theme_description","category","constraint","problem","problem_description","action","source_refs"
"56","T2","Trust the scores — variance, bias, calibration","The pain of measurement validity. Single-run scores look stable but aren't; LLM-judge scores drift between models, across versions, and against humans; standard errors are absent or computed wrong. The team cannot tell whether a score change reflects a real improvement or noise.","Adaptation","Error is Inherent","Tiny eval sets used with CLT-style stats","50 examples, 95% confidence interval calculated with the central limit theorem. The CIs are unreliable below ~100 datapoints.","Don't apply CLT below ~100 datapoints (use Bayesian alternatives); prefer continuous metrics (token likelihoods) over binary correctness","40 — Wolfe"
"57","T1","Orientation — I don't know where to start","The pain of not yet having an evaluation programme. The team can ship an LLM feature but cannot defensibly answer ""is this working?"" — no dataset, no monitoring discipline, no shared vocabulary, no way to tell whether a change made things better or worse.","Adaptation","Error is Inherent","Picking the right statistical test per eval","For continuous, paired, ordinal, multi-comparison data: which test? Most teams default to whatever stats-101 procedure they remember.","Use the `evalstats` Python library (statsforevals.com) to auto-select methods; apply multiple-comparison corrections; use sequential hypothesis testing for iterative dev; report effect sizes — only 16% of 445 surveyed benchmarks ran any statistical test","41 — Arawjo"
"58","T9","Security & red-team","The pain of being a target. Prompt injection, the lethal trifecta (private data + injection + exfiltration), agent goal hijack, privilege escalation, tool misuse — and the team has no agent-specific threat model or red-team programme.","Regulation","Robustness Fragility","No agent-specific threat model","OWASP Top 10 for LLMs covers prompt injection but not goal hijack, tool misuse, agent-to-agent comms. The team's threat model is a year out of date.","Threat-model against the OWASP ASI Top 10: Goal Hijack, Tool Misuse, Identity/Privilege Abuse, Supply Chain, Code Execution, Memory/Context Poisoning, Inter-Agent Comms, Cascading Failures, Human-Agent Trust, Rogue Agents","42 — OWASP"
"59","T9","Security & red-team","The pain of being a target. Prompt injection, the lethal trifecta (private data + injection + exfiltration), agent goal hijack, privilege escalation, tool misuse — and the team has no agent-specific threat model or red-team programme.","Regulation","Robustness Fragility","Red-team scope undefined for agents","What does ""red-team the agent"" mean? Multi-step trajectories? Inter-agent channels? Tool boundaries? No agreed scope.","Define red-team scope across multi-step trajectories, tool boundaries, and agent-to-agent communication channels; collect evidence mapped to enterprise audit requirements","43 — NIST/CSA"
"60","T8","Dataset freshness & integrity","The pain of an eval set that has stopped being a faithful proxy for production. Synthetic data diverges from real usage; saturated benchmarks stop differentiating; contamination, missing held-out sets, and skill coverage gaps silently inflate scores.","Resilience","Benchmark Expiry","Saturated evals stop being signal","100% on the eval. Looks great. Doesn't differentiate the next four model candidates. The eval has retired itself.","Stop relying on an eval once pass rate hits 100% — it no longer differentiates models","1 — Anthropic Demystifying"
"61","T10","Human review workflow","The pain of the human side of the loop. Annotation tools slow iteration to a crawl, expert reviewers disagree, inter-rater reliability is unmeasured, sampling misses the tail, error taxonomies drift as the team looks at outputs.","Regulation","Human Feedback is Substrate","Ambiguous task specs cause spurious failures","Task spec says ""summarise the document."" Two reviewers disagree about whether a one-line abstract counts. Failures get attributed to the model instead of the spec.","Require two domain experts to independently reach the same verdict on each task before adding it to the eval set","1 — Anthropic Demystifying"
"62","T8","Dataset freshness & integrity","The pain of an eval set that has stopped being a faithful proxy for production. Synthetic data diverges from real usage; saturated benchmarks stop differentiating; contamination, missing held-out sets, and skill coverage gaps silently inflate scores.","Resilience","Benchmark Expiry","Test sets optimise only the happy path","Every test case represents a well-formed request. The agent has never been graded on malformed inputs, contradictions, or refusals.","Build balanced datasets that include both positive and negative cases","1 — Anthropic Demystifying"
"63","T11","Organisational scale & reuse","The pain of an organisation that builds the same thing repeatedly. Every team rebuilds eval scaffolding, prompts proliferate inconsistently, skill registries are maintained by hand, repo-by-repo upgrades crawl, and the 80→95 quality plateau eats most of the budget.","Regulation","Robustness Fragility","Shared environment state inflates scores","Two trials share a workspace; one trial's writes affect the other's reads; scores end up correlated in ways the test author didn't intend.","Run each trial in an isolated, clean environment","1 — Anthropic Demystifying"
"64","T8","Dataset freshness & integrity","The pain of an eval set that has stopped being a faithful proxy for production. Synthetic data diverges from real usage; saturated benchmarks stop differentiating; contamination, missing held-out sets, and skill coverage gaps silently inflate scores.","Resilience","Benchmark Expiry","Skill coverage too thin to be diagnostic","Three cases test ""tool selection."" If one passes and two fail, is tool selection at 33%? The number is meaningless at this granularity.","Aim for ≥10–20 test cases per skill and include at least one negative control (should_trigger=false)","2 — OpenAI Eval Skills"
"65","T3","Observability — can I see what happened?","The pain of not being able to see what an agent actually did. Logs are partial, traces aren't comparable across frameworks, long runs hide their failure point, and tool calls and reasoning steps disappear into a black box. Post-hoc debugging is impossible without instrumentation the team didn't install in time.","Adaptation","Interpretability is Partial","Hard to trace what an OpenAI Agents/Codex skill actually did","Skill ran. Output looks weird. Logs offer little; the team can't reconstruct what the skill chose to do, step by step.","Use `codex exec --json --full-auto` to emit a JSONL event stream you can grade against","2 — OpenAI Eval Skills"
"66","T3","Observability — can I see what happened?","The pain of not being able to see what an agent actually did. Logs are partial, traces aren't comparable across frameworks, long runs hide their failure point, and tool calls and reasoning steps disappear into a black box. Post-hoc debugging is impossible without instrumentation the team didn't install in time.","Adaptation","Interpretability is Partial","Model outputs not machine-checkable","Output is free-text JSON sometimes, prose sometimes. Downstream graders can't reliably parse it.","Use `--output-schema` to enforce JSON Schema compliance on responses","2 — OpenAI Eval Skills"
"67","T7","Metrics miss intent","The pain of high scores that don't predict real outcomes. Coding agents pass shallow checks but fail in practice; healthcare benchmarks fixate on accuracy; ""agent did X% of work"" headlines hide that full delegation success is closer to 0–20%. The metric and the goal have decoupled.","Regulation","Partial Alignment","Rubric reads as principles, not criteria","Rubric says ""be helpful, be honest."" Two annotators score the same response 4 and 1. The rubric needs specific criteria, not values.","Operationalise to a 3-tier rubric: ~7 primary dimensions → ~25 sub-dimensions → ~130 fine-grained criteria","3 — Galileo"
"68","T4","Offline → production gap","The pain of eval scores that don't survive contact with production. Offline numbers look fine, then prod regresses silently. Capacity, runtime drift, rate-limit cascades, and rollout discipline catch the team unprepared.","Adaptation","Training ≠ Deployment","Single ""pass"" threshold ignores deployment stage","A 70% pass rate is fine for dev but reckless for prod. Using one threshold across stages produces either over-cautious dev or under-cautious prod.","Set graduated success thresholds: 70% (dev), 85% (staging), 95% (prod)","3 — Galileo"
"69","T2","Trust the scores — variance, bias, calibration","The pain of measurement validity. Single-run scores look stable but aren't; LLM-judge scores drift between models, across versions, and against humans; standard errors are absent or computed wrong. The team cannot tell whether a score change reflects a real improvement or noise.","Adaptation","Error is Inherent","Single eval run hides temporal instability","Yesterday's run and today's run come out differently. Each is reported as ""the score."" Temporal variance is invisible because every run is a single trial.","Run Cronbach's alpha across 5 independent runs to quantify judge reliability","3 — Galileo"
"70","T2","Trust the scores — variance, bias, calibration","The pain of measurement validity. Single-run scores look stable but aren't; LLM-judge scores drift between models, across versions, and against humans; standard errors are absent or computed wrong. The team cannot tell whether a score change reflects a real improvement or noise.","Regulation","Human Feedback is Substrate","LLM judge misses domain nuance","The judge approves a chemistry answer that violates a basic conservation law. The judge doesn't know enough chemistry to catch it.","Run 2–3 independent expert reviewers over 100–200 representative outputs to calibrate","3 — Galileo"
"71","T2","Trust the scores — variance, bias, calibration","The pain of measurement validity. Single-run scores look stable but aren't; LLM-judge scores drift between models, across versions, and against humans; standard errors are absent or computed wrong. The team cannot tell whether a score change reflects a real improvement or noise.","Regulation","Human Feedback is Substrate","Overestimating LLM-judge competence on complex tasks","Treated the judge's score as 95%+ accurate on a research-grade task. Spot-checks reveal closer to 50%.","Assume >50% judge error on complex tasks; ~74% of production agents use human-in-the-loop — plan staffing accordingly","3 — Galileo"
"72","T2","Trust the scores — variance, bias, calibration","The pain of measurement validity. Single-run scores look stable but aren't; LLM-judge scores drift between models, across versions, and against humans; standard errors are absent or computed wrong. The team cannot tell whether a score change reflects a real improvement or noise.","Regulation","Human Feedback is Substrate","Plateaued judge correlation","Single-judge alignment with human evaluators has stuck at 0.73. The team needs another point of correlation but doesn't know where to look.","Use ensemble of judges to gain up to ~7.5% additional correlation with human evaluators","3 — Galileo"
"73","T10","Human review workflow","The pain of the human side of the loop. Annotation tools slow iteration to a crawl, expert reviewers disagree, inter-rater reliability is unmeasured, sampling misses the tail, error taxonomies drift as the team looks at outputs.","Regulation","Human Feedback is Substrate","Don't know how many traces to review","Reading logs all week. 100 traces? 500? When can we stop?","Review ≥100 traces per error-analysis cycle; stop adding categories after ~20 consecutive traces yield no new failure modes","4 — Hamel/Shreya FAQ"
"74","T10","Human review workflow","The pain of the human side of the loop. Annotation tools slow iteration to a crawl, expert reviewers disagree, inter-rater reliability is unmeasured, sampling misses the tail, error taxonomies drift as the team looks at outputs.","Regulation","Human Feedback is Substrate","Error taxonomy drifts as you look at outputs","Started with three failure categories. Three days in, there are eleven, and the original three need refining. The taxonomy is moving while the team is using it.","Use open-coding (free-form notes) → axial-coding (taxonomy) → refinement; don't pre-commit to categories","4 — Hamel/Shreya FAQ"
"75","T10","Human review workflow","The pain of the human side of the loop. Annotation tools slow iteration to a crawl, expert reviewers disagree, inter-rater reliability is unmeasured, sampling misses the tail, error taxonomies drift as the team looks at outputs.","Regulation","Human Feedback is Substrate","Uniform sampling misses tail failures","Sampled 50 random traces; everything looked fine. The tail failures (1 in 200) didn't appear.","Sample by outlier signals: response length, latency, tool-call count","4 — Hamel/Shreya FAQ"
"76","T10","Human review workflow","The pain of the human side of the loop. Annotation tools slow iteration to a crawl, expert reviewers disagree, inter-rater reliability is unmeasured, sampling misses the tail, error taxonomies drift as the team looks at outputs.","Regulation","Human Feedback is Substrate","Small subgroup failures go unnoticed","Overall accuracy is 92%. For users in segment X, it's 60%. The aggregate hides the subgroup.","Stratified sampling by user type, feature, and category; oversample small clusters via embedding clustering","4 — Hamel/Shreya FAQ"
"77","T7","Metrics miss intent","The pain of high scores that don't predict real outcomes. Coding agents pass shallow checks but fail in practice; healthcare benchmarks fixate on accuracy; ""agent did X% of work"" headlines hide that full delegation success is closer to 0–20%. The metric and the goal have decoupled.","Regulation","Partial Alignment","RAG eval mixes retrieval and generation failure modes","Output is wrong. Was retrieval bad, or was generation bad? Single end-to-end score can't tell.","Split: retrieval = Recall@k / Precision@k / MRR; generation = error analysis + LLM-as-judge","4 — Hamel/Shreya FAQ"
"78","T2","Trust the scores — variance, bias, calibration","The pain of measurement validity. Single-run scores look stable but aren't; LLM-judge scores drift between models, across versions, and against humans; standard errors are absent or computed wrong. The team cannot tell whether a score change reflects a real improvement or noise.","Regulation","Human Feedback is Substrate","Inter-rater agreement on annotations unknown","Three annotators each scored part of the dataset. Whether they agreed on overlap cases is not measured.","Measure Cohen's Kappa when multiple annotators score the same traces","4 — Hamel/Shreya FAQ"
"79","T2","Trust the scores — variance, bias, calibration","The pain of measurement validity. Single-run scores look stable but aren't; LLM-judge scores drift between models, across versions, and against humans; standard errors are absent or computed wrong. The team cannot tell whether a score change reflects a real improvement or noise.","Regulation","Human Feedback is Substrate","LLM-judge calibration unmeasured","Adopted an LLM judge. Never measured its true-positive and true-negative rates against a held-out human-labelled test set.","Track TPR and TNR on a held-out test set with human labels","4 — Hamel/Shreya FAQ"
"80","T10","Human review workflow","The pain of the human side of the loop. Annotation tools slow iteration to a crawl, expert reviewers disagree, inter-rater reliability is unmeasured, sampling misses the tail, error taxonomies drift as the team looks at outputs.","Regulation","Human Feedback is Substrate","Off-the-shelf annotation tools slow you down","Generic annotation tool requires seven clicks per case. Iteration speed is bottlenecked by UI, not by data.","Build custom annotation interfaces — teams iterate ~10× faster","4 — Hamel/Shreya FAQ"
"81","T11","Organisational scale & reuse","The pain of an organisation that builds the same thing repeatedly. Every team rebuilds eval scaffolding, prompts proliferate inconsistently, skill registries are maintained by hand, repo-by-repo upgrades crawl, and the 80→95 quality plateau eats most of the budget.","Regulation","Robustness Fragility","Eval prompts get lost or duplicated","The ""good"" rubric prompt is in someone's Slack DM. The committed version is two iterations old.","Version-control eval prompts in Git alongside the application","4 — Hamel/Shreya FAQ"
"82","T11","Organisational scale & reuse","The pain of an organisation that builds the same thing repeatedly. Every team rebuilds eval scaffolding, prompts proliferate inconsistently, skill registries are maintained by hand, repo-by-repo upgrades crawl, and the 80→95 quality plateau eats most of the budget.","Regulation","Robustness Fragility","CI evals run too slowly for blocking checks","CI eval takes 40 minutes. Either CI is unusably slow, or the eval doesn't actually block merges.","CI: small curated dataset (~100 examples) with deterministic checks; reserve heavy evals for nightly/release gates","4 — Hamel/Shreya FAQ"
"83","T5","Cost & capacity","The pain of cost and capacity as the binding constraint. Token bloat, scaffold-induced cost spread (~33× on identical tasks), idle compute, rate limits, missing prompt caching — operational expense quietly determines what architectures are viable, not model quality.","Regulation","Resource Boundaries","Guardrails confused with evaluators","The same code is being asked to both block bad output in real time (synchronous, millisecond budget) and score quality after the fact (asynchronous, expensive). The two have incompatible latency profiles.","Guardrails: synchronous, ms-latency, deterministic. Evaluators: asynchronous, subjective, post-generation. Don't conflate","4 — Hamel/Shreya FAQ"
"84","T1","Orientation — I don't know where to start","The pain of not yet having an evaluation programme. The team can ship an LLM feature but cannot defensibly answer ""is this working?"" — no dataset, no monitoring discipline, no shared vocabulary, no way to tell whether a change made things better or worse.","Adaptation","Interpretability is Partial","Don't know peer baseline for observability investment","How much observability is normal? No survey reference. The team can't judge whether their investment is above or below par.","Benchmark against survey: 89% have observability, 62% detailed tracing, 52.4% offline evals, 37.3% online, 44.8% of prod orgs run online","5 — LangChain State of"
"85","T5","Cost & capacity","The pain of cost and capacity as the binding constraint. Token bloat, scaffold-induced cost spread (~33× on identical tasks), idle compute, rate limits, missing prompt caching — operational expense quietly determines what architectures are viable, not model quality.","Regulation","Resource Boundaries","Token costs creeping up","Bill is up 30% month-over-month. No one shipped a new feature. The prompts have quietly grown.","Only ~28% of LLM calls use cached-read tokens — restructure prompts for prefix reuse","6 — Datadog State of"
"86","T5","Cost & capacity","The pain of cost and capacity as the binding constraint. Token bloat, scaffold-induced cost spread (~33× on identical tasks), idle compute, rate limits, missing prompt caching — operational expense quietly determines what architectures are viable, not model quality.","Regulation","Resource Boundaries","System prompt bloat","System prompt is now 4,000 tokens. Each new behaviour added another paragraph; no one removed anything.","System prompts consume ~69% of input tokens; extract reusable components and route through caching","6 — Datadog State of"
"87","T5","Cost & capacity","The pain of cost and capacity as the binding constraint. Token bloat, scaffold-induced cost spread (~33× on identical tasks), idle compute, rate limits, missing prompt caching — operational expense quietly determines what architectures are viable, not model quality.","Regulation","Resource Boundaries","Rate-limit cascades during traffic spikes","Provider 429'd. Retry queue piled up. Backed-up retries 429'd. Failure mode propagated for 20 minutes.","Rate limits caused ~33% of production failures; add queue + exponential backoff","6 — Datadog State of"
"88","T5","Cost & capacity","The pain of cost and capacity as the binding constraint. Token bloat, scaffold-induced cost spread (~33× on identical tasks), idle compute, rate limits, missing prompt caching — operational expense quietly determines what architectures are viable, not model quality.","Regulation","Resource Boundaries","Agentic loops blow token budgets","Loop ran for 87 iterations because the termination condition was sloppy. Single request cost more than 1000× the median.","59% of agentic requests make a single service call, 18% make 3+; cap loop tokens at hard termination limits","6 — Datadog State of"
"89","T5","Cost & capacity","The pain of cost and capacity as the binding constraint. Token bloat, scaffold-induced cost spread (~33× on identical tasks), idle compute, rate limits, missing prompt caching — operational expense quietly determines what architectures are viable, not model quality.","Regulation","Resource Boundaries","Multi-provider sprawl","One provider in some code paths, another in others, a third for one team. No single point to swap providers or normalise quotas.","~70% of orgs run 3+ models; implement a model gateway for provider fallover and request shaping","6 — Datadog State of"
"90","T2","Trust the scores — variance, bias, calibration","The pain of measurement validity. Single-run scores look stable but aren't; LLM-judge scores drift between models, across versions, and against humans; standard errors are absent or computed wrong. The team cannot tell whether a score change reflects a real improvement or noise.","Regulation","Human Feedback is Substrate","Judge tests miss ordinal-scale failures","Judge handles ""good"" vs ""bad"" well but cannot reliably distinguish ""good"" from ""great"". Ordinal rubrics fall apart.","Synthetic ordinal generation: create samples targeting each rubric level via temperature ramping; validate with human confirmation","8 — Judge Reliability Harness"
"91","T2","Trust the scores — variance, bias, calibration","The pain of measurement validity. Single-run scores look stable but aren't; LLM-judge scores drift between models, across versions, and against humans; standard errors are absent or computed wrong. The team cannot tell whether a score change reflects a real improvement or noise.","Regulation","Human Feedback is Substrate","Single ""accuracy"" hides judge asymmetry","Judge is 95% accurate on positives, 50% on negatives. Reported as ""judge accuracy 92%"", which is misleading.","Track judge false-positive and false-negative rates separately — different models fail in different directions","8 — Judge Reliability Harness"
"92","T8","Dataset freshness & integrity","The pain of an eval set that has stopped being a faithful proxy for production. Synthetic data diverges from real usage; saturated benchmarks stop differentiating; contamination, missing held-out sets, and skill coverage gaps silently inflate scores.","Adaptation","Error is Inherent","Flaky benchmark tests pollute results","7 of 100 tests fail intermittently for environmental reasons. They get retried until they pass, masking real regressions.","Run each benchmark test multiple times and exclude spurious failures; establish a no-op baseline (zero changes → 0% solve rate) before trusting numbers","9 — ProdCodeBench"
"93","T8","Dataset freshness & integrity","The pain of an eval set that has stopped being a faithful proxy for production. Synthetic data diverges from real usage; saturated benchmarks stop differentiating; contamination, missing held-out sets, and skill coverage gaps silently inflate scores.","Resilience","Benchmark Expiry","Irrelevant tests dilute coding-agent eval","Test suite includes tests that aren't exercised by the change. The ""fail rate"" is dominated by tests that wouldn't run in real use.","Use an agentic classifier with code-search to confirm tests exercise modified paths; target ~75% fail-to-pass + ~25% pass-to-pass regression tests","9 — ProdCodeBench"
"94","T8","Dataset freshness & integrity","The pain of an eval set that has stopped being a faithful proxy for production. Synthetic data diverges from real usage; saturated benchmarks stop differentiating; contamination, missing held-out sets, and skill coverage gaps silently inflate scores.","Resilience","Benchmark Expiry","Agent can access solutions via git history","Agent has read access to the repo. The eval expects it to fix bug X, but bug X's fix is in the commit history. Agent reads the answer.","Back out committed changes before evaluation so the agent can't read solutions through git log/blame","9 — ProdCodeBench"
"95","T6","Multi-agent & orchestration","The pain of multiple agents not playing nicely together. Subagents lose context, writes conflict, parallel work fragments, coordination overhead dominates token spend, and naive multi-agent setups produce worse results than a well-prompted single agent.","Resilience","Entanglement","Multi-agent context divergence","Lead agent thinks it's in phase 2. Subagent C is still in phase 1. Their messages talk past each other.","Shared-information protocol: all agents see the same todo list, plan files, and primary context — 80/20 fork rather than filtered subsets","11 — Cognition Multi-Agents"
"96","T6","Multi-agent & orchestration","The pain of multiple agents not playing nicely together. Subagents lose context, writes conflict, parallel work fragments, coordination overhead dominates token spend, and naive multi-agent setups produce worse results than a well-prompted single agent.","Adaptation","Error is Inherent","Smart-friend agents hallucinate when context is missing","Small model escalates to large model with ""please help with X."" Large model has no context, invents plausible-sounding context, returns a confident wrong answer.","Train escalating agents to defer (""investigate this file and ask again later"") instead of guessing","11 — Cognition Multi-Agents"
"97","T6","Multi-agent & orchestration","The pain of multiple agents not playing nicely together. Subagents lose context, writes conflict, parallel work fragments, coordination overhead dominates token spend, and naive multi-agent setups produce worse results than a well-prompted single agent.","Resilience","Entanglement","Routing by ""difficulty"" doesn't help","Built a router that classifies queries as ""easy"" or ""hard"" and routes accordingly. Easy/hard classification turns out to be a worse signal than capability-based routing.","Route by capability: map debug-shaped tasks → debug specialist, visual reasoning → vision specialist, test writing → test specialist","11 — Cognition Multi-Agents"
"98","T6","Multi-agent & orchestration","The pain of multiple agents not playing nicely together. Subagents lose context, writes conflict, parallel work fragments, coordination overhead dominates token spend, and naive multi-agent setups produce worse results than a well-prompted single agent.","Resilience","Entanglement","Single agent fails on multi-service work","Task spans 4 microservices. Single agent can't keep state across them; ends up incoherent.","Manager-coordinator pattern: manager splits work across services, children execute in parallel, manager synthesises","11 — Cognition Multi-Agents"
"99","T6","Multi-agent & orchestration","The pain of multiple agents not playing nicely together. Subagents lose context, writes conflict, parallel work fragments, coordination overhead dominates token spend, and naive multi-agent setups produce worse results than a well-prompted single agent.","Resilience","Entanglement","Narrow escalation questions miss context","Primary asks subagent ""what's the price?"" Subagent answers literally. Primary needed the whole pricing context to make a decision.","Have the primary ask open-ended (""what should I do?"") so the receiver can decide what's relevant","11 — Cognition Multi-Agents"
"100","T5","Cost & capacity","The pain of cost and capacity as the binding constraint. Token bloat, scaffold-induced cost spread (~33× on identical tasks), idle compute, rate limits, missing prompt caching — operational expense quietly determines what architectures are viable, not model quality.","Regulation","Resource Boundaries","Long-running cloud agents waste compute while idle","Agent waits 10 minutes for a slow API. Compute meter ticks the whole time.","Snapshot at hypervisor level (memory + process tree + filesystem) so agents can pause/resume cleanly during async waits (CI, code review) and shut down compute while idle","12 — Cognition Cloud Agents"
"101","T6","Multi-agent & orchestration","The pain of multiple agents not playing nicely together. Subagents lose context, writes conflict, parallel work fragments, coordination overhead dominates token spend, and naive multi-agent setups produce worse results than a well-prompted single agent.","Regulation","Robustness Fragility","Context boundaries between agents undefined","Subagent A's notes get inherited by subagent C; subagent B's don't. The boundary rules are ad hoc.","Treat context as infrastructure: audit onboarding context per agent, maintain version-controlled CLAUDE.md / AGENTS.md as the editorial artifact","13 — Anthropic Coding Trends"
"102","T9","Security & red-team","The pain of being a target. Prompt injection, the lethal trifecta (private data + injection + exfiltration), agent goal hijack, privilege escalation, tool misuse — and the team has no agent-specific threat model or red-team programme.","Regulation","Robustness Fragility","Sensitive data leaks during agent handoffs","User PII appears in agent C's context because the handoff didn't scrub it.","Scan context for sensitive data before agent-to-agent handoff","13 — Anthropic Coding Trends"
"103","T4","Offline → production gap","The pain of eval scores that don't survive contact with production. Offline numbers look fine, then prod regresses silently. Capacity, runtime drift, rate-limit cascades, and rollout discipline catch the team unprepared.","Adaptation","Training ≠ Deployment","Training/prod runtime mismatch silently regresses prod","RL training environment had a different sandbox image than production. Trained behaviours don't survive the runtime change.","Co-locate: pick one sandbox provider, run RL rollouts and production sessions on it — accept lock-in over runtime drift","14 — Han Lee Runtime"
"104","T4","Offline → production gap","The pain of eval scores that don't survive contact with production. Offline numbers look fine, then prod regresses silently. Capacity, runtime drift, rate-limit cascades, and rollout discipline catch the team unprepared.","Adaptation","Training ≠ Deployment","RL agents brittle to real runtime errors","Trained without tool errors. First real timeout in prod, the agent's policy goes haywire.","Inject 5–10% tool errors during RL rollouts (Step-DeepResearch pattern) to build robustness","14 — Han Lee Runtime"
"105","T3","Observability — can I see what happened?","The pain of not being able to see what an agent actually did. Logs are partial, traces aren't comparable across frameworks, long runs hide their failure point, and tool calls and reasoning steps disappear into a black box. Post-hoc debugging is impossible without instrumentation the team didn't install in time.","Adaptation","Interpretability is Partial","Manual testing sessions undocumented","Engineer manually tested the agent for two hours; uncovered three failures; the failures are now in their notebook, not the eval set.","Have the agent emit a ""showboat"" markdown log of curl commands, responses, and decisions — doubles as verification and audit trail","15 — Simon Willison"
"106","T11","Organisational scale & reuse","The pain of an organisation that builds the same thing repeatedly. Every team rebuilds eval scaffolding, prompts proliferate inconsistently, skill registries are maintained by hand, repo-by-repo upgrades crawl, and the 80→95 quality plateau eats most of the budget.","Resilience","Entanglement","New projects give agents no testing pattern to copy","Repo has no tests. Agent learns no tests are expected; produces untested code.","Cookiecutter templates with one or two example tests in your preferred style — agents replicate without instruction","15 — Simon Willison"
"107","T8","Dataset freshness & integrity","The pain of an eval set that has stopped being a faithful proxy for production. Synthetic data diverges from real usage; saturated benchmarks stop differentiating; contamination, missing held-out sets, and skill coverage gaps silently inflate scores.","Resilience","Benchmark Expiry","Cross-framework parity hard to verify","Two teams use different agent frameworks. Whether they're testing ""the same thing"" isn't checkable.","Conformance-driven development: synthesise a unified test suite from N reference implementations, then build against those tests","15 — Simon Willison"
"108","T11","Organisational scale & reuse","The pain of an organisation that builds the same thing repeatedly. Every team rebuilds eval scaffolding, prompts proliferate inconsistently, skill registries are maintained by hand, repo-by-repo upgrades crawl, and the 80→95 quality plateau eats most of the budget.","Resilience","Entanglement","TDD framing too wordy for agent prompts","Telling the agent ""use red-green TDD with comprehensive coverage and a refactor pass"" produces inconsistent behaviour. Five tokens of ""use red-green TDD"" would have worked.","Prefix with ""use red-green TDD"" (~5 tokens) — agents that understand TDD will follow it","15 — Simon Willison"
"109","T8","Dataset freshness & integrity","The pain of an eval set that has stopped being a faithful proxy for production. Synthetic data diverges from real usage; saturated benchmarks stop differentiating; contamination, missing held-out sets, and skill coverage gaps silently inflate scores.","Regulation","Robustness Fragility","Cloning prod data leaks PII into testing","Test fixtures were copied from prod logs. Contain real names, emails, addresses.","Build a ""synthetic user"" button that generates randomised edge-case users (incl. extreme cases like 1,000+ ticket types)","15 — Simon Willison"
"110","T5","Cost & capacity","The pain of cost and capacity as the binding constraint. Token bloat, scaffold-induced cost spread (~33× on identical tasks), idle compute, rate limits, missing prompt caching — operational expense quietly determines what architectures are viable, not model quality.","Regulation","Resource Boundaries","Eval budget burns on easy/hard tails","Cases that always pass and cases that always fail both consume eval budget without yielding signal.","Mid-difficulty filtering: select tasks with 30–70% historical pass rates for 2–3.5× cost reduction before multi-seed runs","16 — EvalEval"
"111","T5","Cost & capacity","The pain of cost and capacity as the binding constraint. Token bloat, scaffold-induced cost spread (~33× on identical tasks), idle compute, rate limits, missing prompt caching — operational expense quietly determines what architectures are viable, not model quality.","Regulation","Resource Boundaries","""Best score"" headline ignores cost","Top model on the leaderboard runs 8× the cost of the second model. Headline doesn't say.","Report Pareto frontier: e.g. 40% at $1,577 vs 42% at $171; flag any accuracy-optimal config costing 4.4–10.8× more than a Pareto alternative","16 — EvalEval"
"112","T11","Organisational scale & reuse","The pain of an organisation that builds the same thing repeatedly. Every team rebuilds eval scaffolding, prompts proliferate inconsistently, skill registries are maintained by hand, repo-by-repo upgrades crawl, and the 80→95 quality plateau eats most of the budget.","Resilience","Benchmark Expiry","Every team rebuilds eval scaffolding","Three teams in the org each rebuilt eval CI, annotation UI, judge harness from scratch.","Standardise artifacts to the ""Every Eval Ever"" schema; deposit in huggingface.co/datasets/evaleval/EEE_datastore","16 — EvalEval"
"113","T11","Organisational scale & reuse","The pain of an organisation that builds the same thing repeatedly. Every team rebuilds eval scaffolding, prompts proliferate inconsistently, skill registries are maintained by hand, repo-by-repo upgrades crawl, and the 80→95 quality plateau eats most of the budget.","Regulation","Partial Alignment","Hiring agentic-AI engineers via interviews doesn't predict capability","Standard interview signals (algorithms, system design) don't predict who can ship a working agent. The real signal is doing the work.","Assign a substantial project (e.g. build a Twitter clone, deploy it, defend against ~10 simulated breach agents) and grade decomposition, spec-writing, code review, and security hardening","17 — Karpathy"
"114","T11","Organisational scale & reuse","The pain of an organisation that builds the same thing repeatedly. Every team rebuilds eval scaffolding, prompts proliferate inconsistently, skill registries are maintained by hand, repo-by-repo upgrades crawl, and the 80→95 quality plateau eats most of the budget.","Resilience","Entanglement","Infrastructure not agent-readable","Internal docs are PDFs and PowerPoints. Agent can't ingest them; team rebuilds them in Markdown.","Ensure agent-native surfaces: Markdown docs, CLIs/APIs, MCP servers, structured logs, copy-pasteable instructions, safe permissioning, audit trails, headless setup flows","17 — Karpathy"
"115","T11","Organisational scale & reuse","The pain of an organisation that builds the same thing repeatedly. Every team rebuilds eval scaffolding, prompts proliferate inconsistently, skill registries are maintained by hand, repo-by-repo upgrades crawl, and the 80→95 quality plateau eats most of the budget.","Regulation","Partial Alignment","Choosing a domain to ship agents into","Which workflow is worth building an agent for? The team is hesitating between three options.","Use `capability ≈ verifiability × training_attention × data_coverage × economic_value` to pick where fine-tuning/RL can win","17 — Karpathy"
"116","T11","Organisational scale & reuse","The pain of an organisation that builds the same thing repeatedly. Every team rebuilds eval scaffolding, prompts proliferate inconsistently, skill registries are maintained by hand, repo-by-repo upgrades crawl, and the 80→95 quality plateau eats most of the budget.","Resilience","Entanglement","Knowledge fragments across agent sessions","Each agent session starts cold. Knowledge from prior sessions doesn't accumulate anywhere readable.","Wiki pattern: compile raw docs into persistent Markdown with summaries, entity pages, concept pages, contradiction logs, cross-links","17 — Karpathy"
